Key,Array
13,"2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0"
14,"3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,6.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0"
15,"3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0"
16,"3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,3.0,6.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,4.0,1.0,1.0"
17,"3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0"
18,"3.0,3.0,1.0,1.0,3.0,3.0,6.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0"
19,"2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,5.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0"
20,"3.0,5.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0"
21,"1.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0"
22,"3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0"
23,"3.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0"
